CLIENT,NODE_KEY,BP_ROLE,EMAIL_ADDRESS,PHONE_NUMBER,FAX_NUMBER,WEB_ADDRESS,ADDRESS_GUID_NODE_KEY,BP_ID,COMPANY_NAME,LEGAL_FORM,APPROVAL_STATUS
100,750531BCE7BA1EDF91EAE92F3C4EAC23,1,customer-do.not.reply@sap.com,622734567,622734004,http://www.sap.com,750531BCE7BA1EDF91EAE92F3C2C2C23,100000000,SAP,SE,X
100,750531BCE7BA1EDF91EAE92F3C4ECC23,1,customer-dagmar.schulze@beckerberlin.de,3088530,3088004,http://www.beckerberlin.de,750531BCE7BA1EDF91EAE92F3C2C8C23,100000001,Becker Berlin,GmbH,X
100,750531BCE7BA1EDF91EAE92F3C4EEC23,1,customer-maria.brown@delbont.com,3023352668,3023352004,http://www.delbont.com,750531BCE7BA1EDF91EAE92F3C2CEC23,100000002,DelBont Industries,Ltd.,X
100,750531BCE7BA1EDF91EAE92F3C4F0C23,1,customer-saskia.sommer@talpa-hannover.de,511403266,511403004,http://www.talpa-hannover.de,750531BCE7BA1EDF91EAE92F3C2D4C23,100000003,Talpa,GmbH,X
100,750531BCE7BA1EDF91EAE92F3C4F2C23,1,customer-bob.buyer@panorama-studios.biz,2244668800,2244668004,http://www.panorama-studios.biz,750531BCE7BA1EDF91EAE92F3C2DAC23,100000004,Panorama Studios,Inc.,X
100,750531BCE7BA1EDF91EAE92F3C4F4C23,1,customer-bart.koenig@tecum-ag.de,2511415,2511004,http://www.tecum-ag.de,750531BCE7BA1EDF91EAE92F3C2E0C23,100000005,TECUM,AG,X
100,750531BCE7BA1EDF91EAE92F3C4F6C23,1,customer-yoko.nakamura@asia-ht.com,9078563412,9078563004,http://www.asia-ht.com,750531BCE7BA1EDF91EAE92F3C2E6C23,100000006,Asia High tech,Inc.,X
100,750531BCE7BA1EDF91EAE92F3C4F8C23,1,customer-sophie.ribery@laurent-paris.com,149744423,149744004,http://www.laurent-paris.com,750531BCE7BA1EDF91EAE92F3C2ECC23,100000007,Laurent,S.A.,X
100,750531BCE7BA1EDF91EAE92F3C4FAC23,1,customer-victor.sanchez@avantel.com,7257716,7257004,http://www.avantel.com,750531BCE7BA1EDF91EAE92F3C2F2C23,100000008,AVANTEL,S.A.,X
100,750531BCE7BA1EDF91EAE92F3C4FCC23,1,customer-jorge.velez@telecomunicacionesstar.com,1133557799,1133557004,http://www.telecomunicacionesstar.com,750531BCE7BA1EDF91EAE92F3C2F8C23,100000009,Telecomunicaciones Star,S.A.,X
100,750531BCE7BA1EDF91EAE92F3C4FEC23,1,customer-franklin.jones@pear-computing.com,6789012345,6789012004,http://www.pear-computing.com,750531BCE7BA1EDF91EAE92F3C2FEC23,100000010,Pear Computing Services,Inc.,X
100,750531BCE7BA1EDF91EAE92F3C500C23,1,customer-joseph_gschwandtner@alp-systems.at,6623612804,6623612004,http://www.alp-systems.at,750531BCE7BA1EDF91EAE92F3C304C23,100000011,Alpine Systems,AG,X
100,750531BCE7BA1EDF91EAE92F3C502C23,1,customer-george_d_grant@newlinedesign.co.uk,2589436180,2589436004,http://www.newlinedesign.co.uk,750531BCE7BA1EDF91EAE92F3C30AC23,100000012,New Line Design,Ltd.,X
100,750531BCE7BA1EDF91EAE92F3C504C23,1,customer-sarah.schwind@hepa-tec.de,4507867136,4507867004,http://www.hepa-tec.de,750531BCE7BA1EDF91EAE92F3C310C23,100000013,HEPA Tec,GmbH,X
100,750531BCE7BA1EDF91EAE92F3C506C23,1,customer-theodor.monathy@anavideon.com,5850428367,5850428004,http://www.anavideon.com,750531BCE7BA1EDF91EAE92F3C316C23,100000014,Anav Ideon,Ltd.,X
100,750531BCE7BA1EDF91EAE92F3C508C23,1,customer-robert_brown@rb-entertainment.ca,7609448173,7609448004,http://www.rb-entertainment.ca,750531BCE7BA1EDF91EAE92F3C31CC23,100000015,Robert Brown Entertainment,Ltd.,X
100,750531BCE7BA1EDF91EAE92F3C50AC23,1,customer-jorgemontalban@motc.mx,6879342945,6879342004,http://www.motc.mx,750531BCE7BA1EDF91EAE92F3C322C23,100000016,Mexican Oil Trading Company,S.A.,X
100,750531BCE7BA1EDF91EAE92F3C50CC23,1,customer-johanna.esther@meliva.de,2208791738,2208791004,http://www.meliva.de,750531BCE7BA1EDF91EAE92F3C328C23,100000017,Meliva,AG,X
100,750531BCE7BA1EDF91EAE92F3C50EC23,1,customer-miguel.luengo@compostela.ar,4440238917,4440238004,http://www.compostela.ar,750531BCE7BA1EDF91EAE92F3C32EC23,100000018,Compostela,S.A.,X
100,750531BCE7BA1EDF91EAE92F3C510C23,1,customer-isabel.nemours@pateu.fr,6328490087,6328490004,http://www.pateu.fr,750531BCE7BA1EDF91EAE92F3C334C23,100000019,Pateu,S.A.R.L.,X
100,750531BCE7BA1EDF91EAE92F3C512C23,1,customer-igor.tarassow@retc.ru,4050378468,4050378004,http://www.retc.ru,750531BCE7BA1EDF91EAE92F3C33AC23,100000020,Russian Electronic Trading Company,z.a.o.,X
100,750531BCE7BA1EDF91EAE92F3C514C23,1,customer-alexis.harper@flor-hc.com,6065470312,6065470004,http://www.flor-hc.com,750531BCE7BA1EDF91EAE92F3C340C23,100000021,Florida Holiday Company,Inc.,X
100,750531BCE7BA1EDF91EAE92F3C516C23,1,customer-c.alfaro@quimica-madrilenos.es,7980023486,7980023004,http://www.quimica-madrilenos.es,750531BCE7BA1EDF91EAE92F3C346C23,100000022,Quimica Madrilenos,S.A.,X
100,750531BCE7BA1EDF91EAE92F3C518C23,1,customer-sven.j@getraenke-janssen.de,3629731486,3629731004,http://www.getraenke-janssen.de,750531BCE7BA1EDF91EAE92F3C34CC23,100000023,Getränkegroßhandel Janssen,GmbH,X
100,750531BCE7BA1EDF91EAE92F3C51AC23,1,customer-yoshiko.kakuji@jateco.jp,3206580974,3206580004,http://www.jateco.jp,750531BCE7BA1EDF91EAE92F3C352C23,100000024,JaTeCo,Inc.,X
100,750531BCE7BA1EDF91EAE92F3C51CC23,1,customer-alessio.galasso@tcdr.it,4580963184,4580963004,http://www.tcdr.it,750531BCE7BA1EDF91EAE92F3C358C23,100000025,Tessile Casa Di Roma,Srl,X
100,750531BCE7BA1EDF91EAE92F3C51EC23,1,customer-romain.le_mason@verdo.fr,1012697341,1012697004,http://www.verdo.fr,750531BCE7BA1EDF91EAE92F3C35EC23,100000026,Vente Et Réparation de Ordinateur,S.A.R.L.,X
100,750531BCE7BA1EDF91EAE92F3C520C23,1,customer-martha.calcagno@dpg.ar,7345697824,7345697004,http://www.dpg.ar,750531BCE7BA1EDF91EAE92F3C364C23,100000027,Developement Para O Governo,S.A.,X
100,750531BCE7BA1EDF91EAE92F3C522C23,1,customer-beatriz.da_silva@brazil-tec.br,469614115,469614004,http://www.brazil-tec.br,750531BCE7BA1EDF91EAE92F3C36AC23,100000028,Brazil Technologies,S.A.,X
100,750531BCE7BA1EDF91EAE92F3C524C23,1,customer-anthony.lebouef@crtu.ca,6839542781,6839542004,http://www.crtu.ca,750531BCE7BA1EDF91EAE92F3C370C23,100000029,C.R.T.U.,Ltd.,X
100,750531BCE7BA1EDF91EAE92F3C526C23,1,customer-lisa.felske@jologa.ch,6714954542,6714954004,http://www.jologa.ch,750531BCE7BA1EDF91EAE92F3C376C23,100000030,Jologa,GmbH,X
100,750531BCE7BA1EDF91EAE92F3C528C23,1,customer-jonathan.d.mason@baleda.com,2483693027,2483693004,http://www.baleda.com,750531BCE7BA1EDF91EAE92F3C37CC23,100000031,Baleda,Inc.,X
